"filename","version","description","category","subcategory1","subcategory2","url","language"
"movies_1990s_pt.csv","1.0","Filmes dos Anos 1990","Cultura","Filmes","Anos 1990","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1990s_pt.csv","pt"
"movies_1990s_es.csv","1.0","Películas de los Años 1990","Cultura","Películas","Años 1990","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_1990s_es.csv","es"
"movies_2000s.csv","1.0","Movies of the 2000s","Culture","Movies","2000s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2000s.csv","en"
"movies_2000s_pt.csv","1.0","Filmes dos Anos 2000","Cultura","Filmes","Anos 2000","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2000s_pt.csv","pt"
"movies_2000s_es.csv","1.0","Películas de los Años 2000","Cultura","Películas","Años 2000","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2000s_es.csv","es"
"movies_2010s.csv","1.0","Movies of the 2010s","Culture","Movies","2010s","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2010s.csv","en"
"movies_2010s_pt.csv","1.0","Filmes dos Anos 2010","Cultura","Filmes","Anos 2010","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2010s_pt.csv","pt"
"movies_2010s_es.csv","1.0","Películas de los Años 2010","Cultura","Películas","Años 2010","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/movies_2010s_es.csv","es"
"video_games_classics.csv","1.0","Classic Video Games","Pop Culture","Video Games","Classics","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/video_games_classics.csv","en"
"video_games_classics_pt.csv","1.0","Videogames Clássicos","Cultura Pop","Videogames","Clássicos","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/video_games_classics_pt.csv","pt"
"video_games_classics_es.csv","1.0","Videojuegos Clásicos","Cultura Pop","Videojuegos","Clásicos","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/video_games_classics_es.csv","es"
"space_exploration.csv","1.0","Space Exploration","Science","Space","Exploration","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/space_exploration.csv","en"
"space_exploration_pt.csv","1.0","Exploração Espacial","Ciência","Espaço","Exploração","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/space_exploration_pt.csv","pt"
"space_exploration_es.csv","1.0","Exploración Espacial","Ciencia","Espacio","Exploración","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/space_exploration_es.csv","es"
"greek_mythology.csv","1.0","Greek Mythology","Culture","Mythology","Greek","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/greek_mythology.csv","en"
"greek_mythology_pt.csv","1.0","Mitologia Grega","Cultura","Mitologia","Grega","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/greek_mythology_pt.csv","pt"
"greek_mythology_es.csv","1.0","Mitología Griega","Cultura","Mitología","Griega","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/greek_mythology_es.csv","es"
